altitude,cadence,speed,stance_time,stance_time_balance,step_length,vertical_oscillation,time,distance,acceleration,segments,start,end
501.2,102,5.02,169,50.03,364,97.5,0,0.0,0.0,first_curve,0,16
500.4,101,5.412,167,49.87,1658,92.7,3,14.6034591369,0.13066666670000002,first_curve,0,16
499.4,100,5.598,166,49.87,1665,93.7,5,30.8488483995,0.093,first_curve,0,16
498.8,100,5.589,168,50.0,1672,93.7,6,39.1576242783,-0.009000000000000001,first_curve,0,16
499.2,99,5.589,168,50.09,1701,93.7,7,47.7075576958,0.0,first_curve,0,16
500.6,98,5.412,169,50.09,1705,96.5,10,70.7728966858,-0.059000000000000004,first_curve,0,16
500.8,98,5.309,170,50.09,1694,95.5,11,78.0752258798,-0.10300000000000001,first_curve,0,16
501.0,97,5.113,168,50.09,1675,95.5,12,92.2420508804,-0.196,first_curve,0,16
501.0,97,5.113,168,50.09,1672,95.5,13,92.2420508804,0.0,first_curve,0,16
501.4,97,5.057,170,50.09,1638,95.5,14,106.0238926116,-0.056,first_curve,0,16
501.4,96,5.057,170,50.0,1634,95.5,15,106.0238926116,0.0,first_curve,0,16
502.0,96,5.151,171,49.87,1627,94.5,16,119.87831724669999,0.094,first_curve,0,16
503.4,94,5.188,169,50.25,1673,100.5,21,145.1786226691,0.0074,first_straight,17,30
503.8,93,4.899,167,50.65,1681,102.5,22,157.786402549,-0.289,first_straight,17,30
503.8,93,4.899,168,50.78,1569,103.5,23,157.786402549,0.0,first_straight,17,30
504.0,93,4.824,171,51.0,1586,102.5,25,170.2762646738,-0.0375,first_straight,17,30
504.6,93,4.731,171,51.21,1558,100.5,27,182.2562745597,-0.0465,first_straight,17,30
505.2,93,4.675,174,50.65,1547,99.5,29,193.7080400618,-0.028,first_straight,17,30
505.6,93,4.647,171,50.43,1543,99.5,30,199.2542881241,-0.028,first_straight,17,30
506.0,93,4.628,171,50.21,1542,99.5,31,210.0470152563,-0.019,second_curve,31,52
506.0,93,4.628,172,50.21,1545,99.5,32,210.0470152563,0.0,second_curve,31,52
506.8,92,4.572,174,50.09,1541,98.5,33,220.9451282869,-0.056,second_curve,31,52
506.8,92,4.572,174,50.09,1538,98.5,34,220.9451282869,0.0,second_curve,31,52
507.4,92,4.5440000000000005,173,49.65,1528,99.5,35,230.5319452556,-0.028,second_curve,31,52
507.6,92,4.525,171,49.4,1525,98.5,36,234.7898172695,-0.019,second_curve,31,52
507.8,92,4.507,170,49.18,1524,98.5,38,238.9764366166,-0.009000000000000001,second_curve,31,52
508.0,91,4.479,170,48.87,1506,97.5,41,252.3196372996,-0.0093333333,second_curve,31,52
507.8,91,4.479,171,48.75,1496,94.5,42,257.0849597904,0.0,second_curve,31,52
507.8,91,4.4879999999999995,171,48.75,1497,94.5,43,266.4630909694,0.009000000000000001,second_curve,31,52
507.8,92,4.479,175,48.87,1487,95.5,45,271.9635358957,-0.0045000000000000005,second_curve,31,52
508.0,91,4.469,182,49.21,1488,96.5,48,289.9366008897,-0.0033333333,second_curve,31,52
508.0,91,4.479,184,49.31,1491,97.5,49,296.5863678934,0.01,second_curve,31,52
507.8,91,4.4879999999999995,183,49.31,1500,97.5,51,311.3041685648,0.0045000000000000005,second_curve,31,52
507.8,91,4.497,181,49.31,1504,97.5,52,318.3110493044,0.009000000000000001,second_curve,31,52
507.6,91,4.516,183,49.21,1554,100.5,55,340.165675374,0.0063333333000000006,last_stretch,53,64
506.6,89,4.423,180,48.53,1553,102.5,60,372.4978499243,-0.018600000000000002,last_stretch,53,64
505.6,89,4.367,186,48.93,1524,105.2,64,395.2131158647,-0.014,last_stretch,53,64
