stanceTime,swingTime,phases
0.3529411764,0.8235294118,drive
0.3564356435,0.8316831684,drive
0.36,0.84,drive
0.36,0.84,drive
0.3636363637,0.8484848484,drive
0.3673469387,0.8571428572,drive
0.3673469387,0.8571428572,drive
0.3711340207,0.8659793814000001,transition
0.3711340207,0.8659793814000001,transition
0.3711340207,0.8659793814000001,transition
0.375,0.875,transition
0.375,0.875,transition
0.3829787234,0.8936170213,transition
0.38709677410000004,0.9032258065000001,transition
0.38709677410000004,0.9032258065000001,transition
0.38709677410000004,0.9032258065000001,maxspeed
0.38709677410000004,0.9032258065000001,maxspeed
0.38709677410000004,0.9032258065000001,maxspeed
0.38709677410000004,0.9032258065000001,maxspeed
0.38709677410000004,0.9032258065000001,maxspeed
0.38709677410000004,0.9032258065000001,maxspeed
0.3913043479,0.9130434782,maxspeed
0.3913043479,0.9130434782,maxspeed
0.3913043479,0.9130434782,maxspeed
0.3913043479,0.9130434782,maxspeed
0.3913043479,0.9130434782,maxspeed
0.3956043956,0.9230769231,maxspeed
0.3956043956,0.9230769231,maxspeed
0.3956043956,0.9230769231,maxspeed
0.3913043479,0.9130434782,maxspeed
0.3956043956,0.9230769231,maintanance
0.3956043956,0.9230769231,maintanance
0.3956043956,0.9230769231,maintanance
0.3956043956,0.9230769231,maintanance
0.3956043956,0.9230769231,maintanance
0.40449438200000004,0.9438202247,maintanance
0.40449438200000004,0.9438202247,maintanance
0.40449438200000004,0.9438202247,maintanance
0.4,0.9333333333,maintanance
0.4,0.9333333333,maintanance
0.4,0.9333333333,maintanance
0.40449438200000004,0.9438202247,maintanance
0.37894736840000004,0.8842105263000001,drive
0.37894736840000004,0.8842105263000001,drive
0.375,0.875,drive
0.3673469387,0.8571428572,drive
0.3636363637,0.8484848484,drive
0.36,0.84,drive
0.36,0.84,drive
0.36,0.84,drive
0.3636363637,0.8484848484,drive
0.3711340207,0.8659793814000001,drive
0.3711340207,0.8659793814000001,drive
0.3673469387,0.8571428572,drive
0.3711340207,0.8659793814000001,drive
0.3711340207,0.8659793814000001,drive
0.375,0.875,drive
0.37894736840000004,0.8842105263000001,transition
0.37894736840000004,0.8842105263000001,transition
0.37894736840000004,0.8842105263000001,transition
0.3829787234,0.8936170213,transition
0.38709677410000004,0.9032258065000001,transition
0.3913043479,0.9130434782,transition
0.3956043956,0.9230769231,transition
0.3913043479,0.9130434782,transition
0.3913043479,0.9130434782,transition
0.3956043956,0.9230769231,transition
0.3956043956,0.9230769231,transition
0.3956043956,0.9230769231,transition
0.3913043479,0.9130434782,transition
0.3913043479,0.9130434782,transition
0.3913043479,0.9130434782,maxspeed
0.3956043956,0.9230769231,maxspeed
0.4,0.9333333333,maxspeed
0.3956043956,0.9230769231,maxspeed
0.3913043479,0.9130434782,maxspeed
0.3956043956,0.9230769231,maxspeed
0.4,0.9333333333,maxspeed
0.3956043956,0.9230769231,maxspeed
0.3956043956,0.9230769231,maxspeed
0.3956043956,0.9230769231,maxspeed
0.3913043479,0.9130434782,maxspeed
0.4,0.9333333333,maxspeed
0.40449438200000004,0.9438202247,maxspeed
0.4,0.9333333333,maxspeed
0.3956043956,0.9230769231,maxspeed
0.3956043956,0.9230769231,maxspeed
0.3956043956,0.9230769231,maxspeed
0.4,0.9333333333,maxspeed
0.40449438200000004,0.9438202247,maxspeed
0.40449438200000004,0.9438202247,maxspeed
0.40449438200000004,0.9438202247,maxspeed
0.4,0.9333333333,maxspeed
0.4,0.9333333333,maxspeed
0.4,0.9333333333,maintanance
0.40449438200000004,0.9438202247,maintanance
0.40449438200000004,0.9438202247,maintanance
0.40449438200000004,0.9438202247,maintanance
0.409090909,0.9545454546000001,maintanance
0.409090909,0.9545454546000001,maintanance
0.409090909,0.9545454546000001,maintanance
0.40449438200000004,0.9438202247,maintanance
0.409090909,0.9545454546000001,maintanance
0.409090909,0.9545454546000001,maintanance
0.409090909,0.9545454546000001,maintanance
0.40449438200000004,0.9438202247,maintanance
0.409090909,0.9545454546000001,maintanance
0.41379310350000004,0.9655172413,maintanance
0.409090909,0.9545454546000001,maintanance
0.40449438200000004,0.9438202247,maintanance
0.40449438200000004,0.9438202247,maintanance
0.40449438200000004,0.9438202247,maintanance
0.40449438200000004,0.9438202247,maintanance
0.40449438200000004,0.9438202247,maintanance
0.40449438200000004,0.9438202247,maintanance
0.409090909,0.9545454546000001,maintanance
0.409090909,0.9545454546000001,maintanance
0.409090909,0.9545454546000001,maintanance
0.40449438200000004,0.9438202247,maintanance
0.40449438200000004,0.9438202247,maintanance
0.40449438200000004,0.9438202247,maintanance
0.40449438200000004,0.9438202247,maintanance
0.409090909,0.9545454546000001,maintanance
0.409090909,0.9545454546000001,maintanance
0.40449438200000004,0.9438202247,maintanance
