vertical_ratio,vertical_oscillation
5.84,97.5
5.84,92.7
5.65,93.7
5.46,93.7
5.34,93.7
5.46,96.5
5.46,95.5
5.46,95.5
5.46,95.5
5.5600000000000005,95.5
5.5600000000000005,95.5
5.5600000000000005,94.5
5.65,100.5
5.84,102.5
5.93,103.5
6.03,102.5
6.12,100.5
6.12,99.5
6.25,99.5
6.25,99.5
6.25,99.5
6.12,98.5
6.12,98.5
6.25,99.5
6.25,98.5
6.25,98.5
6.34,97.5
6.12,94.5
6.25,94.5
6.12,95.5
6.25,96.5
6.34,97.5
6.25,97.5
6.25,97.5
6.25,100.5
6.34,102.5
6.62,105.2
6.8100000000000005,107.2
6.71,99.5
6.62,98.5
6.53,99.5
6.8100000000000005,120.0
3.6,78.0
7.2,83.0
6.4,81.0
5.7,80.0
5.4,77.0
5.2,74.0
5.1,74.0
5.0,74.0
4.9,78.0
4.9,82.0
4.8,81.0
4.7,80.0
4.8,80.0
4.9,80.0
5.0,82.0
5.2,85.0
5.2,84.0
5.3,84.0
5.3,84.0
5.3,85.0
5.3,87.0
5.4,89.0
5.4,88.0
5.5,88.0
5.6,89.0
5.7,90.0
5.7,90.0
5.7,91.0
5.7,89.0
5.8,88.0
5.4,90.0
5.0,93.0
5.4,92.0
5.9,91.0
6.0,92.0
6.1,94.0
6.0,93.0
6.0,92.0
5.5,91.0
5.0,91.0
5.5,92.0
6.0,93.0
5.5,92.0
5.0,91.0
5.5,91.0
6.1,92.0
6.1,93.0
6.1,94.0
6.1,95.0
6.2,96.0
6.3,96.0
6.5,96.0
6.4,96.0
6.4,97.0
6.5,97.0
6.6,98.0
6.5,98.0
6.5,99.0
6.5,98.0
6.6,98.0
6.6,98.0
6.6,99.0
6.5,98.0
6.5,97.0
6.5,98.0
6.5,99.0
6.5,98.0
6.5,98.0
6.6,98.0
6.7,99.0
6.6,98.0
6.6,97.0
6.6,97.0
6.7,98.0
7.0,98.0
7.3,98.0
7.9,97.0
8.5,97.0
8.4,96.0
8.4,96.0
8.3,96.0
8.2,96.0
8.0,95.0
